id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
51948942,50237637,98%,100%,f,5,Memorial,32.69794,-117.12927,Entire home/apt,6,3 baths,3,3,382,68,4.72,t,7.21
51958448,135732926,86%,54%,f,3,Clairemont Mesa,32.80917,-117.17622,Entire home/apt,6,1 bath,2,3,180,0,,f,
51960776,283864573,100%,58%,f,2,Mission Bay,32.77839,-117.25123,Entire home/apt,7,2.5 baths,2,6,400,3,5,f,0.35
51961608,49992025,N/A,100%,f,0,Mission Bay,32.79107,-117.23613,Entire home/apt,8,3 baths,4,3,1000,1,5,t,0.37
51967276,336396789,97%,85%,f,7,Pacific Beach,32.7962,-117.23743,Entire home/apt,16,2 baths,3,4,350,31,4.74,f,3.3
51968674,16493197,100%,25%,f,0,Marina,32.71226,-117.1676,Entire home/apt,2,1 bath,1,1,125,0,,f,
51970722,420913293,100%,100%,f,1,Bay Ho,32.81406,-117.20204,Entire home/apt,13,2 baths,3,6,364,27,4.63,f,2.85
51981899,34666032,100%,83%,f,0,Ocean Beach,32.72928,-117.25324,Entire home/apt,10,5 baths,4,4,2200,2,5,f,0.86
51984405,59528633,100%,100%,f,0,Lake Murray,32.7957,-117.01632,Entire home/apt,4,1 bath,2,3,249,1,5,t,0.11
51988150,94734587,100%,100%,t,1,Mira Mesa,32.90460723,-117.1258601,Private room,1,1.5 shared baths,1,1,46,0,,t,
51798857,6541108,100%,99%,t,0,Mira Mesa,32.92084,-117.14256,Entire home/apt,5,1 bath,2,3,145,41,4.93,t,4.46
51801378,49527906,100%,99%,f,3,Loma Portal,32.73855,-117.232,Entire home/apt,5,2 baths,2,3,599,1,5,f,0.18
51806272,149559374,100%,94%,t,0,Pacific Beach,32.79305,-117.25172,Entire home/apt,1,1 bath,1,1,99,12,5,f,1.23
51818175,419786885,100%,95%,t,0,La Jolla,32.82271,-117.26436,Entire home/apt,14,4.5 baths,6,7,2870,44,5,f,4.54
51819422,41588639,100%,94%,f,5,Park West,32.72974,-117.16531,Entire home/apt,2,1 bath,1,1,119,9,4.22,f,1.02
51820553,20632323,100%,100%,t,0,Moreno Mission,32.76447,-117.18969,Entire home/apt,6,2 baths,3,3,165,0,,t,
51821366,104671345,N/A,57%,f,0,Southcrest,32.68432,-117.10975,Shared room,1,1.5 shared baths,1,1,35,1,1,f,0.15
51824060,104309976,100%,99%,f,872,La Jolla,32.85438,-117.24006,Entire home/apt,12,3 baths,4,6,755,28,4.25,t,3.03
51826048,98164702,100%,93%,t,1,Allied Gardens,32.81528,-117.08221,Entire home/apt,6,2.5 baths,3,6,271,23,4.87,f,2.41
51829115,72411487,100%,100%,f,0,North Hills,32.74643,-117.13665,Entire home/apt,6,1 bath,3,4,340,11,5,f,1.99
51832408,114351102,0%,100%,f,0,Pacific Beach,32.80293,-117.25488,Private room,1,1 shared bath,1,1,160,0,,f,
